question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
8,B,A,True,True,1.0,1.0,1.0
20,C,A,True,True,1.0,1.0,1.0
54,A,B,True,True,1.0,1.0,1.0
108,D,A,True,True,1.0,1.0,1.0
176,D,A,True,True,1.0,1.0,1.0
253,D,A,True,True,1.0,1.0,1.0
218,D,A,True,True,1.0,1.0,1.0
206,C,A,True,True,1.0,1.0,1.0
124,B,A,True,True,1.0,1.0,1.0
165,B,A,True,True,1.0,1.0,1.0
349,B,A,True,True,1.0,1.0,1.0
399,B,A,True,True,1.0,1.0,1.0
402,A,B,True,True,1.0,1.0,1.0
476,C,A,True,True,1.0,1.0,1.0
588,A,B,True,True,1.0,1.0,1.0
629,D,A,True,True,1.0,1.0,1.0
517,A,B,True,True,1.0,1.0,1.0
610,A,B,True,True,,1.0,1.0
443,B,A,True,True,1.0,1.0,1.0
416,C,A,True,True,1.0,1.0,1.0
430,A,B,True,True,1.0,1.0,1.0
405,A,B,True,True,1.0,1.0,1.0
407,B,A,True,True,1.0,1.0,1.0
334,B,A,True,True,1.0,1.0,1.0
703,D,A,True,True,1.0,1.0,1.0
679,B,A,True,True,1.0,1.0,1.0
674,A,B,True,True,1.0,1.0,1.0
981,C,A,True,True,1.0,1.0,1.0
978,C,A,True,True,1.0,1.0,1.0
1063,D,A,True,True,1.0,1.0,1.0
1209,A,B,True,True,1.0,1.0,1.0
1182,A,B,True,True,1.0,1.0,1.0
865,C,A,True,True,1.0,1.0,1.0
878,C,A,True,True,1.0,1.0,1.0
930,A,B,True,True,1.0,1.0,1.0
889,A,B,True,True,1.0,1.0,1.0
911,C,A,True,True,1.0,1.0,1.0
769,C,A,True,True,1.0,1.0,1.0
731,B,A,True,True,1.0,1.0,1.0
732,B,A,True,True,1.0,1.0,1.0
1181,D,A,True,True,,1.0,1.0
1231,A,B,True,True,1.0,1.0,1.0
1104,B,A,True,True,1.0,1.0,1.0
1208,D,A,True,True,1.0,0.75,0.9285714285714286
213,A,B,True,True,0.6666666666666666,1.0,0.8888888888888888
932,D,A,True,True,0.75,1.0,0.8571428571428571
699,A,B,True,True,0.7142857142857143,1.0,0.8461538461538461
799,B,A,True,True,0.7142857142857143,1.0,0.8461538461538461
13,D,A,True,True,0.6666666666666666,1.0,0.8333333333333334
468,A,B,True,True,0.6,1.0,0.8181818181818182
557,C,A,True,True,0.8,0.6666666666666666,0.8
225,C,A,True,True,1.0,0.5,0.8
987,B,A,True,True,0.75,0.75,0.7857142857142857
171,D,A,True,True,0.5,1.0,0.75
733,B,A,True,True,0.6666666666666666,,0.75
87,C,A,True,True,0.5,1.0,0.7272727272727273
53,C,A,True,True,0.3333333333333333,1.0,0.7142857142857143
825,C,A,True,True,0.3333333333333333,1.0,0.6666666666666666
559,B,A,True,False,0.5,1.0,0.6428571428571429
1249,D,A,True,False,1.0,0.3333333333333333,0.5714285714285714
621,D,A,False,False,0.8333333333333334,0.0,0.5
496,C,A,True,False,1.0,0.0,0.5
788,C,A,True,False,0.625,0.0,0.42857142857142855
628,C,A,False,False,0.7142857142857143,0.0,0.4166666666666667
1143,C,A,False,False,0.6666666666666666,0.0,0.4
216,D,A,False,True,0.0,1.0,0.35714285714285715
641,A,B,True,False,0.375,0.0,0.2857142857142857
795,C,A,False,False,0.2,0.5,0.2727272727272727
52,D,A,False,False,0.42857142857142855,0.0,0.23076923076923078
298,D,A,False,True,0.25,0.0,0.23076923076923078
1040,B,A,False,False,0.375,0.0,0.21428571428571427
227,C,A,False,False,0.375,0.0,0.21428571428571427
121,A,B,True,False,0.25,0.0,0.21428571428571427
427,B,A,True,False,0.25,0.0,0.21428571428571427
1072,D,A,False,False,0.375,0.0,0.21428571428571427
737,C,A,True,False,0.16666666666666666,0.0,0.18181818181818182
5,D,A,False,False,0.2857142857142857,0.0,0.18181818181818182
1037,A,B,False,False,0.2857142857142857,0.0,0.15384615384615385
1024,C,A,False,False,0.2857142857142857,0.0,0.15384615384615385
17,D,A,False,False,0.25,0.0,0.14285714285714285
1165,B,A,False,False,0.25,0.0,0.14285714285714285
683,C,A,True,False,0.0,0.0,0.14285714285714285
647,B,A,False,False,0.25,0.0,0.14285714285714285
1025,D,A,False,False,0.25,0.0,0.14285714285714285
1193,C,A,True,False,0.0,0.0,0.1111111111111111
127,C,A,False,False,0.25,0.0,0.1
394,C,A,False,False,0.2,0.0,0.1
1070,D,A,False,False,0.16666666666666666,0.0,0.1
926,B,A,False,False,0.2,0.0,0.09090909090909091
707,C,A,False,False,0.2,0.0,0.09090909090909091
482,B,A,True,False,0.0,0.0,0.09090909090909091
1190,D,A,False,False,0.16666666666666666,0.0,0.08333333333333333
935,A,B,False,False,0.16666666666666666,0.0,0.08333333333333333
834,C,A,False,False,0.14285714285714285,0.0,0.07692307692307693
1177,B,A,False,False,0.14285714285714285,0.0,0.07692307692307693
625,B,A,True,False,0.0,0.0,0.07692307692307693
458,C,A,False,False,0.125,0.0,0.07692307692307693
272,C,A,True,False,0.0,0.0,0.07142857142857142
56,C,A,False,False,0.125,0.0,0.07142857142857142
859,D,A,False,False,0.125,0.0,0.07142857142857142
884,A,B,False,False,0.125,0.0,0.07142857142857142
915,A,B,False,False,0.125,0.0,0.07142857142857142
686,A,B,True,False,0.0,0.0,0.07142857142857142
1085,A,B,True,False,0.0,0.0,0.07142857142857142
1123,D,A,True,False,0.0,0.0,0.07142857142857142
157,A,B,False,False,0.0,0.0,0.0
142,A,B,False,False,0.0,0.0,0.0
277,D,A,False,False,0.0,0.0,0.0
259,D,A,False,False,0.0,0.0,0.0
255,C,A,False,False,0.0,0.0,0.0
251,B,A,False,False,0.0,0.0,0.0
236,A,B,False,False,0.0,0.0,0.0
240,D,A,False,False,0.0,0.0,0.0
193,C,A,False,False,0.0,0.0,0.0
217,C,A,False,False,0.0,0.0,0.0
107,A,B,False,False,0.0,0.0,0.0
105,B,A,False,False,0.0,0.0,0.0
97,B,A,False,False,0.0,0.0,0.0
86,C,A,False,False,0.0,0.0,0.0
82,C,A,False,False,0.0,0.0,0.0
85,B,A,False,False,0.0,0.0,0.0
39,A,B,False,False,0.0,0.0,0.0
35,A,B,False,False,0.0,0.0,0.0
607,C,A,False,False,0.0,0.0,0.0
602,A,B,False,False,0.0,0.0,0.0
612,A,B,False,False,0.0,0.0,0.0
586,B,A,False,False,0.0,0.0,0.0
590,C,A,False,False,0.0,0.0,0.0
592,A,B,False,False,0.0,0.0,0.0
595,B,A,False,False,0.0,0.0,0.0
601,D,A,False,False,0.0,0.0,0.0
562,B,A,False,False,0.0,0.0,0.0
569,B,A,False,False,0.0,0.0,0.0
527,A,B,False,False,0.0,0.0,0.0
534,B,A,False,False,0.0,0.0,0.0
548,D,A,False,False,0.0,0.0,0.0
539,D,A,False,False,0.0,0.0,0.0
555,B,A,False,False,0.0,0.0,0.0
551,A,B,False,False,0.0,0.0,0.0
459,D,A,False,False,0.0,0.0,0.0
488,A,B,False,False,0.0,0.0,0.0
489,C,A,False,False,0.0,0.0,0.0
353,B,A,False,False,0.0,0.0,0.0
328,A,B,False,False,0.0,0.0,0.0
308,C,A,False,False,0.0,0.0,0.0
311,C,A,False,False,0.0,0.0,0.0
324,A,B,False,False,0.0,0.0,0.0
282,A,B,False,False,0.0,0.0,0.0
426,B,A,False,False,0.0,0.0,0.0
420,B,A,False,False,0.0,0.0,0.0
421,C,A,False,False,0.0,0.0,0.0
434,B,A,False,False,0.0,0.0,0.0
433,C,A,False,False,0.0,0.0,0.0
437,A,B,False,False,0.0,0.0,0.0
457,B,A,False,False,0.0,0.0,0.0
281,C,A,False,False,0.0,0.0,0.0
286,C,A,False,False,0.0,0.0,0.0
290,B,A,False,False,0.0,0.0,0.0
375,B,A,False,False,0.0,0.0,0.0
370,D,A,False,False,0.0,0.0,0.0
355,A,B,False,False,0.0,0.0,0.0
70,A,B,False,False,0.0,0.0,0.0
74,C,A,False,False,0.0,0.0,0.0
55,A,B,False,False,0.0,0.0,0.0
50,D,A,False,False,0.0,0.0,0.0
2,B,A,False,False,0.0,0.0,0.0
12,B,A,False,False,0.0,0.0,0.0
15,B,A,False,False,0.0,0.0,0.0
25,D,A,False,False,0.0,0.0,0.0
116,C,A,False,False,0.0,0.0,0.0
113,C,A,False,False,0.0,0.0,0.0
192,D,A,False,False,0.0,0.0,0.0
187,B,A,False,False,0.0,0.0,0.0
186,B,A,False,False,0.0,0.0,0.0
174,D,A,False,False,0.0,0.0,0.0
169,C,A,False,False,0.0,0.0,0.0
115,D,A,False,False,0.0,0.0,0.0
705,C,A,False,False,0.0,0.0,0.0
708,A,B,False,False,0.0,0.0,0.0
782,D,A,False,False,0.0,0.0,0.0
781,D,A,False,False,0.0,0.0,0.0
753,C,A,False,False,0.0,0.0,0.0
761,D,A,False,False,0.0,0.0,0.0
750,B,A,False,False,0.0,0.0,0.0
738,A,B,False,False,0.0,0.0,0.0
704,D,A,False,False,0.0,0.0,0.0
675,C,A,False,False,0.0,0.0,0.0
937,C,A,False,False,0.0,0.0,0.0
921,A,B,False,False,0.0,0.0,0.0
923,C,A,False,False,0.0,0.0,0.0
925,C,A,False,False,0.0,0.0,0.0
883,B,A,False,False,0.0,0.0,0.0
919,B,A,False,False,0.0,0.0,0.0
816,A,B,False,False,0.0,0.0,0.0
793,B,A,False,False,0.0,0.0,0.0
827,A,B,False,False,0.0,0.0,0.0
824,A,B,False,False,0.0,0.0,0.0
847,C,A,False,False,0.0,0.0,0.0
840,D,A,False,False,0.0,0.0,0.0
849,D,A,False,False,0.0,0.0,0.0
852,C,A,False,False,0.0,0.0,0.0
854,B,A,False,False,0.0,0.0,0.0
857,C,A,False,False,0.0,0.0,0.0
817,C,A,False,False,0.0,0.0,0.0
691,B,A,False,False,0.0,0.0,0.0
681,B,A,False,False,0.0,0.0,0.0
635,B,A,False,False,0.0,0.0,0.0
632,D,A,False,False,0.0,0.0,0.0
650,C,A,False,False,0.0,0.0,0.0
658,C,A,False,False,0.0,0.0,0.0
726,D,A,False,False,0.0,0.0,0.0
1013,C,A,False,False,0.0,,0.0
1019,A,B,False,False,0.0,0.0,0.0
995,C,A,False,False,0.0,0.0,0.0
973,B,A,False,False,0.0,0.0,0.0
974,D,A,False,False,0.0,0.0,0.0
943,D,A,False,False,0.0,0.0,0.0
948,C,A,False,False,0.0,0.0,0.0
945,B,A,False,False,0.0,0.0,0.0
1096,C,A,False,False,0.0,0.0,0.0
1091,C,A,False,False,0.0,0.0,0.0
1082,B,A,False,False,0.0,0.0,0.0
1069,A,B,False,False,0.0,0.0,0.0
1038,A,B,False,False,0.0,0.0,0.0
1042,D,A,False,False,0.0,0.0,0.0
1049,C,A,False,False,0.0,0.0,0.0
1062,A,B,False,False,0.0,0.0,0.0
1029,A,B,False,False,0.0,0.0,0.0
1033,B,A,False,False,0.0,0.0,0.0
968,A,B,False,False,0.0,0.0,0.0
958,B,A,False,False,0.0,0.0,0.0
957,B,A,False,False,0.0,0.0,0.0
1113,D,A,False,False,0.0,0.0,0.0
1109,B,A,False,False,0.0,0.0,0.0
1118,C,A,False,False,0.0,0.0,0.0
1168,A,B,False,False,0.0,0.0,0.0
1159,A,B,False,False,0.0,0.0,0.0
1157,D,A,False,False,0.0,0.0,0.0
1133,B,A,False,False,0.0,0.0,0.0
1128,A,B,False,False,0.0,0.0,0.0
1130,A,B,False,False,0.0,0.0,0.0
1120,C,A,False,False,0.0,0.0,0.0
1127,C,A,False,False,0.0,0.0,0.0
1099,A,B,False,False,0.0,0.0,0.0
1199,A,B,False,False,0.0,,0.0
1173,A,B,False,False,0.0,,0.0
1188,B,A,False,False,0.0,0.0,0.0
1226,D,A,False,False,0.0,0.0,0.0
1212,B,A,False,False,0.0,0.0,0.0
1232,A,B,False,False,0.0,0.0,0.0
