question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
25,D,A,True,True,1.0,1.0,1.0
1531,D,A,True,True,1.0,1.0,1.0
0,B,A,True,True,1.0,1.0,1.0
1526,C,A,True,True,1.0,1.0,1.0
683,C,A,True,True,1.0,1.0,1.0
692,B,A,True,True,1.0,1.0,1.0
617,C,A,True,True,1.0,1.0,1.0
596,D,A,True,True,1.0,1.0,1.0
577,D,A,True,True,1.0,1.0,1.0
580,B,A,True,True,1.0,1.0,1.0
723,A,B,True,True,1.0,1.0,1.0
725,D,A,True,True,1.0,1.0,1.0
727,D,A,True,True,1.0,1.0,1.0
704,C,A,True,True,1.0,1.0,1.0
705,B,A,True,True,1.0,1.0,1.0
763,B,A,True,True,1.0,1.0,1.0
738,B,A,True,True,1.0,1.0,1.0
741,B,A,True,True,1.0,1.0,1.0
746,D,A,True,True,1.0,1.0,1.0
756,B,A,True,True,1.0,1.0,1.0
1266,B,A,True,True,1.0,1.0,1.0
1232,B,A,True,True,1.0,1.0,1.0
1240,A,B,True,True,1.0,1.0,1.0
1244,A,B,True,True,1.0,1.0,1.0
1249,D,A,True,True,1.0,1.0,1.0
1200,C,A,True,True,1.0,1.0,1.0
181,D,A,True,True,1.0,1.0,1.0
138,D,A,True,True,1.0,1.0,1.0
149,A,B,True,True,1.0,1.0,1.0
1276,D,A,True,True,1.0,1.0,1.0
1255,D,A,True,True,1.0,1.0,1.0
1258,A,B,True,True,1.0,1.0,1.0
1264,B,A,True,True,1.0,1.0,1.0
186,B,A,True,True,1.0,1.0,1.0
199,A,B,True,True,1.0,1.0,1.0
166,D,A,True,True,1.0,1.0,1.0
176,C,A,True,True,1.0,1.0,1.0
1375,B,A,True,True,1.0,1.0,1.0
1318,B,A,True,True,1.0,1.0,1.0
1330,B,A,True,True,1.0,1.0,1.0
1300,B,A,True,True,1.0,1.0,1.0
1301,D,A,True,True,1.0,1.0,1.0
1312,A,B,True,True,1.0,1.0,1.0
1130,D,A,True,True,1.0,1.0,1.0
1141,A,B,True,True,1.0,1.0,1.0
1117,B,A,True,True,1.0,1.0,1.0
1118,B,A,True,True,1.0,1.0,1.0
1125,C,A,True,True,1.0,1.0,1.0
1106,B,A,True,True,1.0,1.0,1.0
216,C,A,True,True,1.0,1.0,1.0
218,D,A,True,True,1.0,1.0,1.0
225,A,B,True,True,1.0,1.0,1.0
232,A,B,True,True,1.0,1.0,1.0
1182,A,B,True,True,1.0,1.0,1.0
1188,C,A,True,True,1.0,1.0,1.0
1149,D,A,True,True,1.0,1.0,1.0
1150,D,A,True,True,1.0,1.0,1.0
257,D,A,True,True,1.0,1.0,1.0
239,C,A,True,True,1.0,1.0,1.0
247,B,A,True,True,1.0,1.0,1.0
276,D,A,True,True,1.0,1.0,1.0
482,B,A,True,True,1.0,1.0,1.0
459,C,A,True,True,1.0,1.0,1.0
465,C,A,True,True,1.0,1.0,1.0
758,D,A,True,True,1.0,1.0,1.0
761,A,B,True,True,1.0,1.0,1.0
537,A,B,True,True,1.0,1.0,1.0
501,D,A,True,True,1.0,1.0,1.0
502,C,A,True,True,1.0,1.0,1.0
505,C,A,True,True,1.0,1.0,1.0
782,D,A,True,True,1.0,1.0,1.0
796,D,A,True,True,1.0,1.0,1.0
509,B,A,True,True,1.0,1.0,1.0
528,D,A,True,True,1.0,1.0,1.0
529,D,A,True,True,1.0,1.0,1.0
829,A,B,True,True,,1.0,1.0
831,C,A,True,True,1.0,1.0,1.0
833,B,A,True,True,1.0,1.0,1.0
834,D,A,True,True,1.0,1.0,1.0
839,B,A,True,True,1.0,1.0,1.0
815,B,A,True,True,1.0,1.0,1.0
822,A,B,True,True,1.0,1.0,1.0
824,B,A,True,True,1.0,1.0,1.0
1032,A,B,True,True,1.0,1.0,1.0
999,D,A,True,True,1.0,1.0,1.0
1003,D,A,True,True,1.0,1.0,1.0
967,D,A,True,True,1.0,1.0,1.0
974,C,A,True,True,1.0,1.0,1.0
937,C,A,True,True,1.0,1.0,1.0
351,D,A,True,True,1.0,1.0,1.0
293,A,B,True,True,1.0,1.0,1.0
296,D,A,True,True,1.0,1.0,1.0
1028,D,A,True,True,1.0,1.0,1.0
1076,D,A,True,True,1.0,1.0,1.0
1044,D,A,True,True,1.0,1.0,1.0
358,D,A,True,True,1.0,1.0,1.0
366,A,B,True,True,1.0,1.0,1.0
330,B,A,True,True,1.0,1.0,1.0
1116,C,A,True,True,1.0,1.0,1.0
1079,D,A,True,True,1.0,1.0,1.0
1085,D,A,True,True,1.0,1.0,1.0
1069,B,A,True,True,1.0,1.0,1.0
413,A,B,True,True,1.0,1.0,1.0
415,B,A,True,True,1.0,1.0,1.0
384,D,A,True,True,1.0,1.0,1.0
387,B,A,True,True,1.0,1.0,1.0
848,A,B,True,True,1.0,1.0,1.0
852,C,A,True,True,1.0,1.0,1.0
420,B,A,True,True,1.0,1.0,1.0
421,B,A,True,True,1.0,1.0,1.0
423,A,B,True,True,1.0,1.0,1.0
428,C,A,True,True,1.0,1.0,1.0
431,D,A,True,True,1.0,1.0,1.0
432,D,A,True,True,1.0,1.0,1.0
876,A,B,True,True,1.0,1.0,1.0
440,C,A,True,True,1.0,1.0,1.0
446,C,A,True,True,1.0,1.0,1.0
449,A,B,True,True,1.0,1.0,1.0
911,B,A,True,True,1.0,1.0,1.0
894,B,A,True,True,1.0,1.0,1.0
896,A,B,True,True,1.0,1.0,1.0
897,C,A,True,True,1.0,1.0,1.0
72,D,A,True,True,1.0,1.0,1.0
34,A,B,True,True,1.0,1.0,1.0
45,C,A,True,True,1.0,1.0,1.0
17,C,A,True,True,1.0,1.0,1.0
19,C,A,True,True,1.0,1.0,1.0
20,C,A,True,True,1.0,1.0,1.0
21,D,A,True,True,1.0,1.0,1.0
1477,D,A,True,True,1.0,1.0,1.0
1451,C,A,True,True,1.0,1.0,1.0
637,D,A,True,True,1.0,1.0,1.0
1522,D,A,True,True,1.0,1.0,1.0
3,B,A,True,True,1.0,1.0,1.0
1485,C,A,True,True,1.0,1.0,1.0
1491,B,A,True,True,1.0,1.0,1.0
1498,B,A,True,True,,1.0,1.0
675,D,A,True,True,1.0,1.0,1.0
676,D,A,True,True,1.0,1.0,1.0
678,A,B,True,True,1.0,1.0,1.0
642,D,A,True,True,1.0,1.0,1.0
650,D,A,True,True,1.0,1.0,1.0
652,B,A,True,True,1.0,1.0,1.0
80,B,A,True,True,1.0,1.0,1.0
82,D,A,True,True,1.0,1.0,1.0
1357,C,A,True,True,1.0,1.0,1.0
1365,A,B,True,True,1.0,1.0,1.0
1368,D,A,True,True,1.0,1.0,1.0
1369,C,A,True,True,1.0,1.0,1.0
128,A,B,True,True,1.0,1.0,1.0
129,A,B,True,True,1.0,1.0,1.0
108,C,A,True,True,1.0,1.0,1.0
116,C,A,True,True,1.0,1.0,1.0
117,A,B,True,True,1.0,1.0,1.0
97,A,B,True,True,1.0,1.0,1.0
1402,D,A,True,True,1.0,1.0,1.0
1405,C,A,True,True,1.0,1.0,1.0
1380,C,A,True,True,1.0,1.0,1.0
1393,C,A,True,True,1.0,1.0,1.0
125,C,A,True,True,1.0,1.0,1.0
1439,A,B,True,True,1.0,1.0,1.0
1447,C,A,True,True,1.0,1.0,1.0
1422,C,A,True,True,1.0,1.0,1.0
1421,B,A,False,True,1.0,1.0,0.9285714285714286
1472,C,A,True,True,0.875,1.0,0.9285714285714286
85,B,A,True,True,0.875,1.0,0.9285714285714286
1396,D,A,True,True,0.875,1.0,0.9285714285714286
454,C,A,True,True,0.875,1.0,0.9285714285714286
389,B,A,True,True,0.875,1.0,0.9285714285714286
910,D,A,True,True,0.875,1.0,0.9285714285714286
64,C,A,False,True,1.0,1.0,0.9285714285714286
14,C,A,True,True,0.875,1.0,0.9285714285714286
663,B,A,True,True,0.875,1.0,0.9285714285714286
674,D,A,True,True,0.875,1.0,0.9285714285714286
1237,D,A,True,True,0.875,1.0,0.9285714285714286
1134,D,A,True,True,0.875,1.0,0.9285714285714286
740,C,A,True,True,0.875,1.0,0.9285714285714286
769,B,A,True,True,0.875,1.0,0.9285714285714286
492,B,A,True,True,0.875,1.0,0.9285714285714286
306,C,A,True,True,0.875,1.0,0.9285714285714286
992,C,A,True,True,0.875,1.0,0.9285714285714286
1063,A,B,True,True,0.875,1.0,0.9285714285714286
1078,C,A,True,True,0.875,1.0,0.9285714285714286
542,D,A,True,True,0.8571428571428571,1.0,0.9230769230769231
909,C,A,True,True,0.8333333333333334,1.0,0.9166666666666666
240,B,A,True,True,0.6666666666666666,1.0,0.8888888888888888
188,C,A,True,True,0.8571428571428571,,0.8888888888888888
66,B,A,True,True,0.6666666666666666,1.0,0.8888888888888888
248,A,B,True,True,0.5,1.0,0.875
1415,C,A,True,True,0.75,1.0,0.8571428571428571
923,C,A,True,True,0.75,1.0,0.8571428571428571
