question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
112,A,B,True,True,1.0,1.0,1.0
374,C,A,True,True,1.0,1.0,1.0
234,B,A,True,True,1.0,1.0,1.0
53,B,A,True,True,1.0,1.0,1.0
390,C,A,True,True,1.0,1.0,1.0
487,C,A,True,False,0.875,1.0,0.8571428571428571
140,A,B,True,False,1.0,0.25,0.7142857142857143
264,B,A,True,False,0.5,1.0,0.6428571428571429
349,D,A,False,False,0.625,0.5,0.5
192,A,B,False,False,0.75,0.0,0.42857142857142855
471,C,A,False,False,0.75,0.0,0.42857142857142855
385,C,A,False,True,0.0,1.0,0.35714285714285715
181,D,A,True,False,0.25,0.0,0.21428571428571427
202,B,A,False,False,0.375,0.0,0.21428571428571427
351,D,A,False,False,0.0,0.75,0.21428571428571427
443,C,A,True,False,0.0,0.0,0.07142857142857142
231,C,A,False,False,0.125,0.0,0.07142857142857142
436,C,A,False,False,0.125,0.0,0.07142857142857142
259,C,A,False,False,0.125,0.0,0.07142857142857142
283,C,A,False,False,0.125,0.0,0.07142857142857142
321,D,A,False,False,0.0,0.0,0.0
359,B,A,False,False,0.0,0.0,0.0
322,B,A,False,False,0.0,0.0,0.0
323,A,B,False,False,0.0,0.0,0.0
358,D,A,False,False,0.0,0.0,0.0
325,B,A,False,False,0.0,0.0,0.0
356,C,A,False,False,0.0,0.0,0.0
328,D,A,False,False,0.0,0.0,0.0
329,D,A,False,False,0.0,0.0,0.0
330,B,A,False,False,0.0,0.0,0.0
334,C,A,False,False,0.0,0.0,0.0
338,A,B,False,False,0.0,0.0,0.0
339,B,A,False,False,0.0,0.0,0.0
341,D,A,False,False,0.0,0.0,0.0
354,C,A,False,False,0.0,0.0,0.0
343,A,B,False,False,0.0,0.0,0.0
346,C,A,False,False,0.0,0.0,0.0
353,C,A,False,False,0.0,0.0,0.0
350,B,A,False,False,0.0,0.0,0.0
352,A,B,False,False,0.0,0.0,0.0
333,C,A,False,False,0.0,0.0,0.0
252,C,A,False,False,0.0,0.0,0.0
253,C,A,False,False,0.0,0.0,0.0
254,C,A,False,False,0.0,0.0,0.0
258,C,A,False,False,0.0,0.0,0.0
261,D,A,False,False,0.0,0.0,0.0
262,C,A,False,False,0.0,0.0,0.0
266,D,A,False,False,0.0,0.0,0.0
273,C,A,False,False,0.0,0.0,0.0
274,B,A,False,False,0.0,0.0,0.0
278,C,A,False,False,0.0,0.0,0.0
280,C,A,False,False,0.0,0.0,0.0
281,B,A,False,False,0.0,0.0,0.0
287,D,A,False,False,0.0,0.0,0.0
289,C,A,False,False,0.0,0.0,0.0
311,C,A,False,False,0.0,0.0,0.0
292,A,B,False,False,0.0,0.0,0.0
293,A,B,False,False,0.0,0.0,0.0
295,C,A,False,False,0.0,0.0,0.0
296,D,A,False,False,0.0,0.0,0.0
298,A,B,False,False,0.0,0.0,0.0
299,C,A,False,False,0.0,0.0,0.0
302,D,A,False,False,0.0,0.0,0.0
304,A,B,False,False,0.0,0.0,0.0
308,D,A,False,False,0.0,0.0,0.0
309,A,B,False,False,0.0,0.0,0.0
363,A,B,False,False,0.0,0.0,0.0
313,B,A,False,False,0.0,0.0,0.0
315,C,A,False,False,0.0,0.0,0.0
316,A,B,False,False,0.0,0.0,0.0
320,B,A,False,False,0.0,0.0,0.0
290,B,A,False,False,0.0,0.0,0.0
15,C,A,False,False,0.0,0.0,0.0
17,C,A,False,False,0.0,0.0,0.0
18,A,B,False,False,0.0,0.0,0.0
19,C,A,False,False,0.0,0.0,0.0
20,C,A,False,False,0.0,0.0,0.0
21,D,A,False,False,0.0,0.0,0.0
24,B,A,False,False,0.0,0.0,0.0
4,A,B,False,False,0.0,0.0,0.0
27,C,A,False,False,0.0,0.0,0.0
28,C,A,False,False,0.0,0.0,0.0
29,A,B,False,False,0.0,0.0,0.0
30,A,B,False,False,0.0,0.0,0.0
34,A,B,False,False,0.0,0.0,0.0
39,D,A,False,False,0.0,0.0,0.0
368,C,A,False,False,0.0,0.0,0.0
42,C,A,False,False,0.0,0.0,0.0
43,A,B,False,False,0.0,0.0,0.0
45,C,A,False,False,0.0,0.0,0.0
46,B,A,False,False,0.0,0.0,0.0
50,C,A,False,False,0.0,0.0,0.0
51,C,A,False,False,0.0,0.0,0.0
52,B,A,False,False,0.0,0.0,0.0
55,D,A,False,False,0.0,0.0,0.0
58,C,A,False,False,0.0,0.0,0.0
59,D,A,False,False,0.0,0.0,0.0
61,D,A,False,False,0.0,0.0,0.0
62,C,A,False,False,0.0,0.0,0.0
63,C,A,False,False,0.0,0.0,0.0
64,C,A,False,False,0.0,0.0,0.0
65,D,A,False,False,0.0,0.0,0.0
41,B,A,False,False,0.0,0.0,0.0
365,A,B,False,False,0.0,0.0,0.0
366,A,B,False,False,0.0,0.0,0.0
367,C,A,False,False,0.0,0.0,0.0
251,B,A,False,False,0.0,0.0,0.0
434,C,A,False,False,0.0,0.0,0.0
438,A,B,False,False,0.0,0.0,0.0
439,A,B,False,False,0.0,0.0,0.0
440,C,A,False,False,0.0,0.0,0.0
444,C,A,False,False,0.0,0.0,0.0
0,B,A,False,False,0.0,0.0,0.0
448,D,A,False,False,0.0,0.0,0.0
450,D,A,False,False,0.0,0.0,0.0
452,C,A,False,False,0.0,0.0,0.0
454,C,A,False,False,0.0,0.0,0.0
455,D,A,False,False,0.0,0.0,0.0
13,D,A,False,False,0.0,0.0,0.0
463,B,A,False,False,0.0,0.0,0.0
465,C,A,False,False,0.0,0.0,0.0
466,D,A,False,False,0.0,0.0,0.0
467,A,B,False,False,0.0,0.0,0.0
472,A,B,False,False,0.0,0.0,0.0
474,C,A,False,False,0.0,0.0,0.0
475,B,A,False,False,0.0,0.0,0.0
476,D,A,False,False,0.0,0.0,0.0
478,D,A,False,False,0.0,0.0,0.0
488,A,B,False,False,0.0,0.0,0.0
489,D,A,False,False,0.0,0.0,0.0
492,B,A,False,False,0.0,0.0,0.0
493,C,A,False,False,0.0,0.0,0.0
495,B,A,False,False,0.0,0.0,0.0
497,B,A,False,False,0.0,0.0,0.0
459,C,A,False,False,0.0,0.0,0.0
430,C,A,False,False,0.0,0.0,0.0
2,C,A,False,False,0.0,0.0,0.0
69,D,A,False,False,0.0,0.0,0.0
71,C,A,False,False,0.0,0.0,0.0
76,C,A,False,False,0.0,0.0,0.0
81,C,A,False,False,0.0,0.0,0.0
84,B,A,False,False,0.0,0.0,0.0
85,B,A,False,False,0.0,0.0,0.0
89,D,A,False,False,0.0,0.0,0.0
90,C,A,False,False,0.0,0.0,0.0
92,C,A,False,False,0.0,0.0,0.0
95,D,A,False,False,0.0,0.0,0.0
97,A,B,False,False,0.0,0.0,0.0
98,C,A,False,False,0.0,0.0,0.0
242,C,A,False,False,0.0,0.0,0.0
