total_responses,invalid_count,invalid_pct,question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
11172,17,0.15,1526,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,0,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,1,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,3,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,1524,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,1522,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,1521,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1518,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1515,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,1510,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,13,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,14,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1439,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,1447,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1449,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,1451,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1425,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1430,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1431,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,1436,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1438,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,1413,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,1415,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1417,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1422,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1402,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,1403,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,1405,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1407,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,1410,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,117,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,122,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,125,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,128,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,129,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,106,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,108,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,111,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,115,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,116,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,92,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,97,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,101,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,82,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,89,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,181,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,186,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,188,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,189,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,193,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,166,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,169,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,171,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,176,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,144,B,A,True,True,1.0,1.0,1.0
11172,17,0.15,149,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,153,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,159,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,133,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,134,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,138,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,1380,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1382,D,A,True,True,1.0,1.0,1.0
11172,17,0.15,1385,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,1393,C,A,True,True,1.0,1.0,1.0
11172,17,0.15,1397,A,B,True,True,1.0,1.0,1.0
11172,17,0.15,1368,D,A,True,True,1.0,1.0,1.0
