question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
486,A,B,True,True,1.0,1.0,1.0
397,D,A,True,True,1.0,1.0,1.0
20,C,A,True,True,1.0,1.0,1.0
396,A,B,True,True,1.0,1.0,1.0
385,C,A,True,True,1.0,1.0,1.0
377,B,A,True,True,1.0,1.0,1.0
366,A,B,True,True,1.0,1.0,1.0
66,B,A,True,True,1.0,1.0,1.0
95,D,A,True,True,1.0,1.0,1.0
374,C,A,True,True,1.0,1.0,1.0
358,D,A,True,True,1.0,1.0,1.0
351,D,A,True,True,1.0,1.0,1.0
293,A,B,True,True,1.0,1.0,1.0
318,B,A,True,True,1.0,1.0,1.0
349,D,A,True,True,1.0,1.0,1.0
72,D,A,True,True,1.0,1.0,1.0
169,A,B,True,True,1.0,1.0,1.0
171,C,A,True,True,1.0,1.0,1.0
149,A,B,True,True,1.0,1.0,1.0
22,A,B,True,True,1.0,1.0,1.0
138,D,A,True,True,1.0,1.0,1.0
186,B,A,True,True,1.0,1.0,1.0
51,C,A,True,True,1.0,1.0,1.0
151,C,A,True,True,1.0,1.0,1.0
45,C,A,True,True,1.0,1.0,1.0
1,D,A,True,True,0.875,1.0,0.9285714285714286
343,A,B,True,True,1.0,0.75,0.9285714285714286
215,B,A,True,True,0.875,1.0,0.9285714285714286
395,A,B,True,True,0.875,1.0,0.9285714285714286
193,D,A,True,True,0.875,1.0,0.9285714285714286
421,B,A,True,True,1.0,0.5,0.8571428571428571
281,B,A,True,True,0.75,1.0,0.8571428571428571
276,D,A,True,False,1.0,0.75,0.8571428571428571
283,C,A,True,True,0.75,1.0,0.8571428571428571
65,D,A,True,True,0.75,1.0,0.8571428571428571
478,D,A,True,True,0.75,1.0,0.8571428571428571
449,A,B,True,True,0.75,1.0,0.8571428571428571
25,D,A,False,True,0.875,1.0,0.8571428571428571
300,B,A,True,True,0.75,1.0,0.8571428571428571
225,A,B,True,True,0.75,1.0,0.8571428571428571
136,D,A,True,True,0.75,1.0,0.8571428571428571
127,C,A,False,True,0.875,1.0,0.8571428571428571
97,A,B,True,True,0.75,1.0,0.8571428571428571
367,C,A,True,True,0.75,1.0,0.8571428571428571
482,B,A,True,True,0.625,1.0,0.7857142857142857
76,C,A,True,True,0.625,1.0,0.7857142857142857
243,B,A,False,True,0.75,1.0,0.7857142857142857
472,A,B,True,True,1.0,0.25,0.7857142857142857
137,D,A,True,True,0.625,1.0,0.7857142857142857
328,D,A,True,False,1.0,0.5,0.7857142857142857
185,A,B,True,False,0.625,1.0,0.7142857142857143
295,C,A,True,True,0.625,0.75,0.7142857142857143
303,C,A,True,True,0.5,1.0,0.7142857142857143
69,D,A,True,False,0.75,0.75,0.7142857142857143
399,A,B,True,True,0.875,0.25,0.7142857142857143
84,B,A,True,True,0.625,0.75,0.7142857142857143
85,B,A,True,True,0.5,1.0,0.7142857142857143
242,C,A,True,True,0.5,1.0,0.7142857142857143
417,B,A,True,True,0.75,0.5,0.7142857142857143
200,B,A,True,True,0.75,0.5,0.7142857142857143
437,B,A,True,True,0.5,1.0,0.7142857142857143
309,A,B,True,True,0.75,0.25,0.6428571428571429
440,C,A,False,False,0.75,0.75,0.6428571428571429
474,C,A,True,True,0.5,0.75,0.6428571428571429
471,C,A,False,True,0.75,0.5,0.6428571428571429
2,C,A,True,True,0.375,1.0,0.6428571428571429
8,C,A,True,False,0.625,0.5,0.5714285714285714
459,C,A,True,False,0.625,0.5,0.5714285714285714
181,D,A,True,True,0.625,0.25,0.5714285714285714
107,D,A,True,True,0.25,1.0,0.5714285714285714
240,B,A,True,True,0.375,0.75,0.5714285714285714
204,B,A,True,True,0.25,0.75,0.5
168,D,A,True,False,0.75,0.0,0.5
188,C,A,True,True,0.375,0.5,0.5
24,B,A,True,False,0.375,0.75,0.5
280,C,A,True,True,0.125,1.0,0.5
333,C,A,False,False,0.75,0.25,0.5
311,C,A,True,False,0.625,0.25,0.5
302,D,A,True,True,0.25,0.75,0.5
153,A,B,True,False,0.75,0.0,0.5
82,D,A,False,True,0.625,0.25,0.5
112,A,B,True,False,0.75,0.0,0.5
389,B,A,True,True,0.125,1.0,0.5
214,B,A,False,True,0.125,1.0,0.42857142857142855
180,A,B,True,False,0.5,0.25,0.42857142857142855
209,C,A,True,False,0.625,0.0,0.42857142857142855
455,D,A,False,False,0.75,0.0,0.42857142857142855
308,D,A,True,True,0.0,1.0,0.42857142857142855
125,C,A,True,False,0.375,0.5,0.42857142857142855
275,B,A,False,True,0.25,0.75,0.42857142857142855
296,D,A,True,False,0.5,0.25,0.42857142857142855
231,C,A,True,False,0.5,0.25,0.42857142857142855
254,C,A,True,True,0.375,0.25,0.42857142857142855
166,D,A,False,True,0.5,0.25,0.42857142857142855
161,C,A,True,False,0.625,0.0,0.42857142857142855
492,B,A,True,False,0.5,0.25,0.42857142857142855
10,A,B,False,True,0.625,0.0,0.42857142857142855
52,B,A,True,False,0.375,0.5,0.42857142857142855
454,C,A,False,False,0.5,0.5,0.42857142857142855
122,D,A,True,False,0.625,0.0,0.42857142857142855
124,A,B,False,False,0.375,0.75,0.42857142857142855
133,C,A,True,False,0.5,0.25,0.42857142857142855
234,B,A,True,False,0.375,0.25,0.35714285714285715
12,B,A,False,False,0.625,0.0,0.35714285714285715
44,D,A,True,False,0.5,0.0,0.35714285714285715
115,B,A,False,False,0.5,0.25,0.35714285714285715
83,D,A,False,False,0.625,0.0,0.35714285714285715
392,B,A,False,False,0.625,0.0,0.35714285714285715
144,B,A,False,True,0.375,0.25,0.35714285714285715
139,D,A,True,False,0.375,0.25,0.35714285714285715
159,A,B,True,True,0.0,0.75,0.35714285714285715
233,C,A,False,False,0.5,0.25,0.35714285714285715
398,C,A,False,False,0.375,0.5,0.35714285714285715
400,A,B,True,False,0.375,0.25,0.35714285714285715
179,D,A,False,False,0.5,0.0,0.2857142857142857
207,D,A,True,False,0.125,0.5,0.2857142857142857
191,A,B,True,False,0.375,0.0,0.2857142857142857
58,C,A,False,False,0.5,0.0,0.2857142857142857
108,C,A,False,True,0.125,0.5,0.2857142857142857
103,C,A,True,False,0.375,0.0,0.2857142857142857
261,D,A,True,False,0.375,0.0,0.2857142857142857
142,B,A,False,False,0.5,0.0,0.2857142857142857
17,C,A,True,False,0.375,0.0,0.2857142857142857
371,A,B,False,False,0.5,0.0,0.2857142857142857
337,D,A,False,False,0.5,0.0,0.2857142857142857
320,B,A,True,False,0.375,0.0,0.2857142857142857
253,C,A,True,False,0.375,0.0,0.2857142857142857
266,D,A,False,False,0.5,0.0,0.2857142857142857
292,A,B,True,False,0.375,0.0,0.2857142857142857
143,C,A,True,False,0.125,0.5,0.2857142857142857
150,B,A,True,False,0.375,0.0,0.2857142857142857
274,B,A,True,False,0.375,0.0,0.2857142857142857
80,B,A,False,False,0.375,0.25,0.2857142857142857
0,B,A,True,False,0.125,0.5,0.2857142857142857
71,C,A,True,False,0.375,0.0,0.2857142857142857
359,B,A,True,False,0.25,0.25,0.2857142857142857
7,C,A,True,True,0.0,0.25,0.21428571428571427
178,D,A,True,False,0.25,0.0,0.21428571428571427
465,C,A,True,False,0.0,0.5,0.21428571428571427
78,D,A,False,False,0.25,0.25,0.21428571428571427
340,B,A,False,False,0.375,0.0,0.21428571428571427
92,C,A,False,False,0.375,0.0,0.21428571428571427
294,D,A,False,False,0.375,0.0,0.21428571428571427
273,C,A,False,False,0.25,0.25,0.21428571428571427
131,D,A,True,False,0.25,0.0,0.21428571428571427
282,D,A,True,False,0.25,0.0,0.21428571428571427
299,C,A,True,False,0.25,0.0,0.21428571428571427
48,D,A,False,False,0.375,0.0,0.21428571428571427
463,B,A,True,False,0.25,0.0,0.21428571428571427
212,C,A,False,True,0.125,0.25,0.21428571428571427
206,D,A,False,False,0.375,0.0,0.21428571428571427
452,C,A,False,False,0.375,0.0,0.21428571428571427
21,D,A,True,False,0.125,0.25,0.21428571428571427
415,B,A,False,False,0.375,0.0,0.21428571428571427
423,A,B,False,False,0.25,0.25,0.21428571428571427
