question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
94,C,A,True,True,1.0,1.0,1.0
294,A,B,True,True,1.0,0.5,0.8571428571428571
457,B,A,False,True,0.75,1.0,0.7857142857142857
249,B,A,False,False,0.625,0.0,0.35714285714285715
143,B,A,False,False,0.375,0.25,0.2857142857142857
990,D,A,False,False,0.25,0.0,0.14285714285714285
165,B,A,False,False,0.25,0.0,0.14285714285714285
897,B,A,False,False,0.125,0.0,0.07142857142857142
759,C,A,False,False,0.0,0.25,0.07142857142857142
1046,B,A,False,False,0.125,0.0,0.07142857142857142
836,A,B,False,False,0.0,0.0,0.0
837,D,A,False,False,0.0,0.0,0.0
839,B,A,False,False,0.0,0.0,0.0
840,D,A,False,False,0.0,0.0,0.0
841,B,A,False,False,0.0,0.0,0.0
842,C,A,False,False,0.0,0.0,0.0
843,C,A,False,False,0.0,0.0,0.0
844,A,B,False,False,0.0,0.0,0.0
845,A,B,False,False,0.0,0.0,0.0
847,C,A,False,False,0.0,0.0,0.0
848,B,A,False,False,0.0,0.0,0.0
849,D,A,False,False,0.0,0.0,0.0
853,C,A,False,False,0.0,0.0,0.0
854,B,A,False,False,0.0,0.0,0.0
855,B,A,False,False,0.0,0.0,0.0
857,C,A,False,False,0.0,0.0,0.0
835,C,A,False,False,0.0,0.0,0.0
797,D,A,False,False,0.0,0.0,0.0
799,B,A,False,False,0.0,0.0,0.0
802,D,A,False,False,0.0,0.0,0.0
804,A,B,False,False,0.0,0.0,0.0
805,B,A,False,False,0.0,0.0,0.0
806,A,B,False,False,0.0,0.0,0.0
808,C,A,False,False,0.0,0.0,0.0
809,B,A,False,False,0.0,0.0,0.0
811,D,A,False,False,0.0,0.0,0.0
812,D,A,False,False,0.0,0.0,0.0
827,A,B,False,False,0.0,0.0,0.0
815,A,B,False,False,0.0,0.0,0.0
817,C,A,False,False,0.0,0.0,0.0
818,A,B,False,False,0.0,0.0,0.0
820,C,A,False,False,0.0,0.0,0.0
821,C,A,False,False,0.0,0.0,0.0
824,A,B,False,False,0.0,0.0,0.0
825,C,A,False,False,0.0,0.0,0.0
859,D,A,False,False,0.0,0.0,0.0
831,A,B,False,False,0.0,0.0,0.0
834,C,A,False,False,0.0,0.0,0.0
814,D,A,False,False,0.0,0.0,0.0
903,B,A,False,False,0.0,0.0,0.0
907,A,B,False,False,0.0,0.0,0.0
912,B,A,False,False,0.0,0.0,0.0
914,C,A,False,False,0.0,0.0,0.0
915,A,B,False,False,0.0,0.0,0.0
918,B,A,False,False,0.0,0.0,0.0
920,A,B,False,False,0.0,0.0,0.0
921,A,B,False,False,0.0,0.0,0.0
922,A,B,False,False,0.0,0.0,0.0
923,C,A,False,False,0.0,0.0,0.0
864,D,A,False,False,0.0,0.0,0.0
925,C,A,False,False,0.0,0.0,0.0
926,B,A,False,False,0.0,0.0,0.0
929,C,A,False,False,0.0,0.0,0.0
930,A,B,False,False,0.0,0.0,0.0
938,C,A,False,False,0.0,0.0,0.0
939,A,B,False,False,0.0,0.0,0.0
940,A,B,False,False,0.0,0.0,0.0
943,D,A,False,False,0.0,0.0,0.0
944,D,A,False,False,0.0,0.0,0.0
945,B,A,False,False,0.0,0.0,0.0
946,C,A,False,False,0.0,0.0,0.0
924,A,B,False,False,0.0,0.0,0.0
863,A,B,False,False,0.0,0.0,0.0
