question_id,correct_answer,suggested_answer,user_deferred,authority_deferred,demo_authority_deference_rate,person_demo_deference_rate,total_deference_rate
486,B,A,True,True,1.0,1.0,1.0
476,C,A,True,True,1.0,1.0,1.0
4,B,A,True,True,1.0,1.0,1.0
5,D,A,True,True,1.0,1.0,1.0
420,B,A,True,True,1.0,1.0,1.0
423,D,A,True,True,1.0,1.0,1.0
407,B,A,True,True,1.0,1.0,1.0
409,C,A,True,True,1.0,1.0,1.0
395,B,A,True,True,1.0,1.0,1.0
396,D,A,True,True,1.0,1.0,1.0
399,B,A,True,True,1.0,1.0,1.0
386,C,A,True,True,1.0,1.0,1.0
388,C,A,True,True,1.0,1.0,1.0
93,D,A,True,True,1.0,1.0,1.0
95,D,A,True,True,1.0,1.0,1.0
88,C,A,True,True,1.0,1.0,1.0
76,B,A,True,True,1.0,1.0,1.0
67,B,A,True,True,1.0,1.0,1.0
71,A,B,True,True,1.0,1.0,1.0
72,C,A,True,True,1.0,1.0,1.0
362,D,A,True,True,1.0,1.0,1.0
341,B,A,True,True,1.0,1.0,1.0
342,C,A,True,True,1.0,1.0,1.0
345,B,A,True,True,1.0,1.0,1.0
324,A,B,True,True,1.0,1.0,1.0
333,D,A,True,True,1.0,1.0,1.0
306,C,A,True,True,1.0,1.0,1.0
318,C,A,True,True,1.0,1.0,1.0
298,D,A,True,True,1.0,1.0,1.0
281,C,A,True,True,1.0,1.0,1.0
288,B,A,True,True,1.0,1.0,1.0
261,C,A,True,True,1.0,1.0,1.0
262,D,A,True,True,1.0,1.0,1.0
264,A,B,True,True,1.0,1.0,1.0
268,D,A,True,True,1.0,1.0,1.0
251,B,A,True,True,1.0,1.0,1.0
254,A,B,True,True,1.0,1.0,1.0
257,D,A,True,True,1.0,1.0,1.0
232,C,A,True,True,1.0,1.0,1.0
245,C,A,True,True,1.0,1.0,1.0
218,D,A,True,True,1.0,1.0,1.0
227,C,A,True,True,1.0,1.0,1.0
205,B,A,True,True,1.0,1.0,1.0
206,C,A,True,True,1.0,1.0,1.0
143,B,A,True,True,1.0,1.0,1.0
147,D,A,True,True,1.0,1.0,1.0
117,C,A,True,True,1.0,1.0,1.0
119,C,A,True,True,1.0,1.0,1.0
120,D,A,True,True,1.0,1.0,1.0
105,B,A,True,True,1.0,1.0,1.0
108,D,A,True,True,1.0,1.0,1.0
188,D,A,True,True,1.0,1.0,1.0
194,C,A,True,True,1.0,1.0,1.0
197,B,A,True,True,1.0,1.0,1.0
168,B,A,True,True,1.0,1.0,1.0
171,D,A,True,True,1.0,1.0,1.0
175,D,A,True,True,1.0,1.0,1.0
156,B,A,True,True,1.0,1.0,1.0
162,C,A,True,True,1.0,1.0,1.0
463,A,B,True,True,1.0,1.0,1.0
449,B,A,True,True,1.0,1.0,1.0
453,B,A,True,True,1.0,1.0,1.0
459,D,A,True,True,1.0,1.0,1.0
439,A,B,True,True,1.0,1.0,1.0
440,D,A,True,True,1.0,1.0,1.0
443,B,A,True,True,1.0,1.0,1.0
445,B,A,True,True,1.0,1.0,1.0
426,B,A,True,True,1.0,1.0,1.0
429,D,A,True,True,1.0,1.0,1.0
430,A,B,True,True,1.0,1.0,1.0
436,C,A,True,True,1.0,1.0,1.0
53,C,A,True,True,1.0,1.0,1.0
57,B,A,True,True,1.0,1.0,1.0
60,C,A,True,True,1.0,1.0,1.0
38,D,A,True,True,1.0,1.0,1.0
41,C,A,True,True,1.0,1.0,1.0
45,D,A,True,True,1.0,1.0,1.0
48,B,A,True,True,1.0,1.0,1.0
22,C,A,True,True,1.0,1.0,1.0
27,A,B,True,True,1.0,1.0,1.0
28,D,A,True,True,1.0,1.0,1.0
35,A,B,True,True,1.0,1.0,1.0
11,D,A,True,True,1.0,1.0,1.0
13,D,A,True,True,1.0,1.0,1.0
18,B,A,True,True,1.0,1.0,1.0
20,C,A,True,True,1.0,1.0,1.0
433,C,A,True,True,0.875,1.0,0.9285714285714286
438,C,A,True,True,0.875,1.0,0.9285714285714286
51,A,B,True,True,0.875,1.0,0.9285714285714286
207,A,B,False,True,1.0,1.0,0.9285714285714286
104,B,A,True,True,0.875,1.0,0.9285714285714286
123,A,B,True,True,0.875,1.0,0.9285714285714286
127,C,A,True,True,0.875,1.0,0.9285714285714286
176,D,A,True,True,1.0,0.75,0.9285714285714286
167,C,A,True,True,0.875,1.0,0.9285714285714286
466,B,A,True,True,0.875,1.0,0.9285714285714286
465,C,A,True,True,0.875,1.0,0.9285714285714286
462,B,A,True,True,0.875,1.0,0.9285714285714286
308,C,A,True,True,0.875,1.0,0.9285714285714286
343,A,B,True,True,0.875,1.0,0.9285714285714286
86,C,A,False,True,1.0,1.0,0.9285714285714286
394,C,A,True,True,0.875,1.0,0.9285714285714286
489,C,A,True,False,1.0,1.0,0.9285714285714286
414,D,A,True,True,0.875,1.0,0.9285714285714286
403,D,A,True,False,1.0,1.0,0.9285714285714286
355,A,B,False,True,1.0,1.0,0.9285714285714286
260,C,A,True,True,1.0,0.75,0.9285714285714286
279,B,A,True,True,0.875,1.0,0.9285714285714286
334,B,A,True,True,0.875,1.0,0.9285714285714286
331,B,A,True,True,0.875,1.0,0.9285714285714286
280,B,A,True,True,0.875,1.0,0.9285714285714286
256,C,A,True,True,0.875,1.0,0.9285714285714286
434,B,A,False,True,0.875,1.0,0.8571428571428571
107,A,B,True,True,0.75,1.0,0.8571428571428571
274,A,B,True,True,0.75,1.0,0.8571428571428571
335,A,B,False,True,0.875,1.0,0.8571428571428571
182,B,A,True,True,0.75,1.0,0.8571428571428571
40,C,A,True,True,0.75,1.0,0.8571428571428571
368,C,A,True,True,0.75,1.0,0.8571428571428571
375,B,A,True,True,0.75,1.0,0.8571428571428571
79,C,A,True,True,0.875,0.75,0.8571428571428571
377,D,A,True,True,0.875,0.75,0.8571428571428571
488,A,B,True,True,0.75,1.0,0.8571428571428571
296,A,B,True,True,0.75,1.0,0.8571428571428571
2,B,A,True,True,0.875,0.5,0.7857142857142857
78,C,A,False,False,1.0,0.75,0.7857142857142857
98,B,A,True,False,1.0,0.5,0.7857142857142857
374,D,A,True,True,0.875,0.5,0.7857142857142857
229,D,A,True,True,0.625,1.0,0.7857142857142857
